"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPP1",2.99217585117567,6.77501370436104,8.17360122529024,4.96573191743581e-15,1.67107481234786e-12,23.5628641152937
"S100P",2.78051834315263,4.773797319073,7.50284256299419,4.79759487166236e-13,6.54678248575797e-11,19.1378282651712
"SPINK1",2.67573147999564,6.47608810497279,6.58464439376365,1.58821784536961e-10,7.63472561406226e-09,13.5375677158277
"CYP3A4",-2.62746336740665,5.93480179026459,-6.17420501285827,1.76990793919841e-09,5.52557421387016e-08,11.218813231472
"S100A9",2.5579853115363,4.97157061496716,14.3994677945211,1.49817308218212e-37,2.53505867236036e-33,73.9805438742163
"CRP",2.42078478441341,8.45312093197223,5.78456560131943,1.56288976846479e-08,3.31815028509318e-07,9.12969742048084
"SPP2",-2.26429708758264,5.96970183956465,-7.98810660669581,1.804919935271e-14,4.60123932203447e-12,22.3125439851667
"SLC10A1",-2.18506086889544,5.88591199110903,-7.10895265197366,6.18144534325808e-12,5.39155859037475e-10,16.6679278498412
"TAT",-2.16413530377777,6.47841997448677,-6.58277719533832,1.60615653728621e-10,7.69908633637959e-09,13.5267521126316
"LCN2",2.07927295727397,5.7157420724864,6.23440822571148,1.25190732959201e-09,4.16179251945508e-08,11.5514589817362
"ADH4",-2.05366816176593,7.4067663718784,-5.85263731651782,1.07673368161819e-08,2.50774674608722e-07,9.48660811485079
"CYP8B1",-1.93440843673113,5.81486320946144,-5.75287122767128,1.85681313304373e-08,3.79458152466581e-07,8.96470001909615
"AKR1B10",1.90726589232344,7.4288002195684,4.75060524685639,2.9189731312619e-06,2.6027074537283e-05,4.14735247846703
"AQP9",-1.88133190543559,6.94730215513605,-6.49172614787806,2.76942245943125e-10,1.21088882263659e-08,13.0022734908985
"SLC22A1",-1.86794988904171,5.73543932996059,-5.60442139260186,4.1210686011528e-08,7.3171670304414e-07,8.20195453770188
"ADH1B",-1.86578844865052,7.2649298586489,-6.99158843494961,1.29874128993908e-11,9.47120312693813e-10,15.9512937590652
"CCL20",1.82023856844321,4.5870569372265,7.20667905944081,3.30871693607007e-12,3.18106814063873e-10,17.2714926932788
"CXCL1",1.80959546352322,2.4243969212873,7.78098184817595,7.44727184950517e-14,1.46529403448229e-11,20.9401706787505
"UGT1A4",-1.77248282044536,4.05456710182023,-6.06897467489566,3.22191249173875e-09,9.02615583985288e-08,10.6436514889026
"FDCSP",1.75714810475219,1.39031564222181,7.03685955996334,9.76361676804817e-12,7.72010090337117e-10,16.2266532963821
"CYP2A6",-1.7529562863244,6.79460676796772,-4.19609757650962,3.41279426332718e-05,0.000208476143428733,1.83085901522236
"GLYAT",-1.75115806312855,4.47682974128354,-6.1780995611653,1.73083796374416e-09,5.41358764963307e-08,11.2402533291139
"CPS1",-1.74146711100047,6.98933816303246,-5.35427078752499,1.52145893822823e-07,2.17254064926243e-06,6.95470318708303
"NQO1",1.73109623973859,4.6822534124301,5.34453968636714,1.59923219087244e-07,2.26638257133606e-06,6.907160641094
"G6PC",-1.69938776465084,7.34259760022894,-7.34646298151275,1.3391218680601e-12,1.5006146443341e-10,18.1454631920829
"SFN",1.68184026344882,4.52644723038469,6.35155689200932,6.33540875747809e-10,2.39288954431444e-08,12.2061689850373
"BHMT",-1.67720004797089,6.18786625743667,-5.9055366375421,8.04156438146524e-09,1.95504757038467e-07,9.76634643735793
"PLA2G2A",1.65834997775318,5.5427328573541,3.8743040007597,0.000126707162182303,0.000630777255453587,0.60601536827923
"GNMT",-1.64726725728255,5.9763944317583,-6.16108196474301,1.90801592394329e-09,5.88079006357822e-08,11.1466492133468
"HSD11B1",-1.6168952947557,6.99994200388441,-4.68179180910592,4.01413674120156e-06,3.38600238274534e-05,3.84599240703496
"CA9",1.60518155341531,1.69801973012573,6.37342615176436,5.57305318856726e-10,2.14810097958421e-08,12.3294681535723
"CXCL8",1.60378510056779,2.94740786974667,7.2182499727053,3.07146828830565e-12,3.00418005239422e-10,17.3433633765029
"TRNP1",1.57804538749537,3.71314820918747,7.60886624543087,2.37159927805577e-13,3.78583314943223e-11,19.8192896880881
"PDK4",-1.57728361586955,5.48937771922687,-8.42667028389904,8.27300978120622e-16,3.33303805970929e-13,25.3001613659947
"FNDC5",-1.57577443946494,3.00779937361231,-6.18703804223183,1.64433075810528e-09,5.20069546876624e-08,11.2895023337007
"LGALS3",1.56630696453175,5.47272210422969,9.49951762503503,2.84605642487706e-19,4.0131767304454e-16,33.0416045149366
"MMP7",1.56599316062152,2.16811633250516,6.42067493022664,4.21987284148417e-10,1.71233737052167e-08,12.5970081074783
"SLC1A5",1.54746173780247,3.59863083245262,10.5884606865629,4.98132439226422e-23,2.80963300138343e-19,41.4513817022116
"SLC27A5",-1.54637951127387,5.90095815050854,-6.91804516037046,2.0586225790412e-11,1.35540671828623e-09,15.5068534769629
"PKIB",1.52737300173488,1.9684696884894,10.0086860618079,5.31462915083069e-21,2.24822099653015e-17,36.9103271573674
"CYP2C8",-1.5171674038343,6.829674470152,-5.40162055510747,1.19251210942441e-07,1.78097947074761e-06,7.18708673580212
"HSD17B13",-1.5105921292936,4.40023530068305,-4.19597283811409,3.41458657362741e-05,0.000208510355151026,1.8303670026968
"SLC2A2",-1.50189181912324,7.54112153534247,-7.2054814921726,3.33427862425648e-12,3.18753268932452e-10,17.2640591296385
"AGR2",1.49980246805691,1.32641887143179,6.2376095548725,1.22897935891992e-09,4.10708269665881e-08,11.5692203097583
"CD24",1.49894604192038,5.55948701693376,5.29487521002066,2.06027184937171e-07,2.80355081949452e-06,6.66566822041846
"PHLDA2",1.49653559349098,3.68895632121974,8.87438467918581,3.1881293746317e-17,1.99801248696826e-14,28.4591831615516
"LECT2",-1.49621323560577,4.50336770273597,-5.83402184633761,1.19263455373506e-08,2.70773567306757e-07,9.38866125546141
"AASS",-1.49413330562923,3.59389295767686,-8.54466334359104,3.54413186390453e-16,1.71343586483225e-13,26.1222878088259
"RTP3",-1.49023794951382,5.37236408551323,-5.45826916289676,8.89034141222813e-08,1.39548670720141e-06,7.46738865128476
"PCK1",-1.48866375966814,6.59140235291049,-5.03188665032076,7.63403091844771e-07,8.4872166341034e-06,5.41924004732436
"CYP7A1",-1.48833808414664,4.54931636468756,-4.82280798915979,2.08111905663973e-06,1.96619852358464e-05,4.46771942184267
